tick,hour,hostel,library,canteen,lab,admin,ground
334,22,0,0,2,0,0,0
335,23,0,0,2,0,0,0
337,1,0,0,2,0,0,0
338,2,1,0,2,0,0,0
339,3,0,0,2,0,0,0
340,4,0,0,2,0,0,0
341,0,0,0,2,0,0,0
342,6,0,0,2,0,0,0
344,8,0,0,2,0,0,0
345,9,0,0,0,0,0,0
346,10,0,0,2,0,0,0
346,5,0,0,2,0,0,0
348,12,0,1,2,0,0,0
348,7,0,1,2,0,0,0
349,13,0,1,2,0,0,0
350,14,0,1,0,0,0,0
351,15,0,0,0,0,0,0
352,16,0,0,0,0,0,0
352,11,0,0,0,0,0,0
353,17,0,0,0,0,0,0
354,18,0,0,0,0,0,0
355,19,0,0,0,0,0,0
357,21,0,0,0,0,0,0
358,22,0,0,0,0,0,0
359,23,2,0,0,0,0,0
360,0,2,0,0,0,0,0
361,20,2,0,0,0,0,0
362,2,2,0,0,0,0,0
364,4,2,0,0,0,0,0
365,5,2,0,0,0,0,0
366,6,2,0,0,0,0,0
366,1,2,0,0,0,0,0
368,8,2,0,0,0,0,0
368,3,2,0,0,0,0,0
369,9,2,0,0,0,0,0
370,10,2,0,0,0,0,0
371,11,0,0,0,0,0,0
372,12,2,0,0,0,0,0
372,7,2,0,0,0,0,0
374,14,2,0,0,0,0,0
375,15,2,0,0,0,0,0
376,16,2,0,0,0,0,0
377,17,2,0,0,0,0,0
378,18,2,0,0,0,0,0
378,13,2,0,0,0,0,0
379,19,2,0,0,0,0,0
380,20,2,0,0,0,0,0
382,22,2,0,0,0,0,0
383,23,2,0,0,0,0,0
383,21,2,0,0,0,0,0
384,0,2,0,0,0,0,0
385,1,2,0,0,0,0,0
386,2,2,0,0,0,0,0
388,4,2,0,0,0,0,0
389,5,2,0,0,0,0,0
390,6,2,0,0,0,0,0
391,7,2,0,0,0,0,0
392,8,2,0,0,0,0,0
393,9,0,0,0,0,0,0
394,10,2,0,0,0,0,0
